query,precision@10,time@10
Grafikdesign,0.95,30.278298417
Bürokaufmann/-frau,0.9,29.574373832999996
IT Berater,0.25,27.99257495799999
Vertrieb Manager,0.8,31.70598849999999
Webdesign,0.55,29.614003333
Verkäufer/in,0.8,23.170524125000014
Quereinsteiger,0.3,42.048105542
Kaufmännische/r Angestellte/r,0.9,28.218032083000026
IT Security,0.0,32.612388124999995
Industriekaufmann/-frau,0.9,31.500760083000046
Minijob,0.9,21.887558749999982
Büro,0.7,28.77714266700002
Büroassistent/in,0.9,32.491526292
Luftfahrttechnik,0.0,34.44360975000001
Erzieher/in,0.5,19.378826000000004
Data Analyst,0.8,24.614440375000015
Leiter IT,0.05,37.528224749999936
technischer Zeichner,1.0,28.308449333999988
Technischer Leiter,0.25,40.18690562500001
Systemadministrator/in,0.05,28.413573667000037
Finance,1.0,23.26470525000002
Buchhalter/in,0.7,26.21842041700006
Arbeitsvorbereitung,0.65,24.43230441700007
Industriemeister,0.3,34.349450333999926
Logistik,1.0,25.536251459000027
Umwelt,0.65,30.294874209
Mitarbeiter/in Empfang,0.1,15.179425791999961
Kaufmännische/r Sachbearbeiter/in,0.9,29.34733337499995
Fachinformatiker Systemintegration,0.9,33.19603741699996
Marketing,0.65,28.798837917000014
Lebensmitteltechnik,0.7,21.121184332999974
Trainer,0.45,29.14940308300004
SPS,0.7,32.142344500000036
Bauzeichner,0.7,36.641864458999976
Einzelhandelskaufmann/-frau,0.0,33.75008908299992
Fachkraft Lagerlogistik,1.0,33.38894241600019
Sachbearbeiter,0.65,28.83074233299999
Verpackungstechnik,0.7,22.408909999999878
Medizintechnik,0.0,30.55986166699995
Medizinische/r Fachangestellte/r,0.6,25.101915832999794
Software-Tester/in,0.0,32.53509149999991
Umweltmanagement,0.0,77.43957029199987
Kaufmann/-frau,0.65,104.12231666599996
Fahrer,1.0,78.337597125
Architektur,0.3,102.62346475000004
Bautechniker,0.85,76.86543495800015
Qualitätssicherung,1.0,72.57726420800009
SAP Consult,0.0,68.10751554199987
cam,0.0,24.93762654200009
Hausmeister/in,0.85,30.48117079199983
Verwaltungsfachangestellte/r,1.0,30.565124665999974
Buchhaltung,1.0,19.775420582999914
Vertrieb International,0.8,47.14432441600002
büro,1.0,24.400172916999963
Wasserwirtschaft,0.0,30.338451250000162
Unternehmensberatung,1.0,21.59574725000016
Sozialpädagoge/in,0.95,29.940902708000067
Maschinenbautechniker,0.4,40.307126832999984
C,0.2,27.68403829199997
Sekretär/in,0.0,32.43888929099967
Automatisierung,0.9,24.845800750000308
Vertriebsinnendienst,0.0,31.248210375000326
Kunststofftechnik,0.75,34.202570124999966
Sozialarbeiter/in,0.85,40.72583008399988
Supply Chain,0.0,33.09643041599975
HR Business Partner,0.0,40.22063274999982
minijob,0.8,39.22389329199996
Ingenieur/in,0.0,71.60124395900039
Vertrieb,0.0,72.85025937499995
Energiemanagement,0.2,92.56353579200004
Kältetechnik,1.0,28.909077958000125
marketing,0.75,27.622009000000162
Sachbearbeiter/in Einkauf,0.65,24.09653304099993
Teilzeit,1.0,24.870670249999876
Politische Kommunikation,0.5,43.536281874999986
Einkauf,0.85,63.832685250000395
Kaufmännischer Leiter,0.15,107.11905204200002
Homeoffice,0.1,39.05917199999976
Personalsachbearbeiter/in,0.9,36.578845208000075
Geschäftsführer/in,0.0,80.49734462499964
Robotik,0.6,22.706882250000035
Wirtschaftsinformatik,0.8,17.603241000000253
Koch/Köchin,1.0,26.037647666999874
Ingenieur Elektro,0.9,25.35859316699998
Leiter Qualitätsmanagement,0.0,42.438176125000155
Industriemechaniker/in,0.75,23.254850499999975
Bilanzbuchhalter,0.15,35.71077479199994
Mediengestalter/in,0.0,38.06940858300004
Projekt-Manager/in,0.9,49.40080149999994
Lagerhelfer/in,0.8,15.713143166999998
Controller/in,1.0,33.337821417000214
Teamleiter/in,0.0,62.60637599999973
Grafik-Designer/in,1.0,101.20303745799993
Werkstoff,0.65,73.1501257079999
IT Sales,0.05,26.04948429099977
Produktentwicklung,0.9,25.607394332999775
IT Manager,0.0,66.0755909999998
Logistik Manager,0.6,41.3188812909998
HR Manager,0.0,37.01110295799981
Maschinenbauingenieur/in,0.0,38.039023415999964
Messtechnik,0.9,46.568723082999895
Cplusplus,0.0,41.08204791699973
Chemielaborant/in,0.9,27.24598724999987
Leiter Instandhaltung,0.8,29.7992212500003
Software-Entwickler/in,1.0,22.962293417000183
Fachinformatiker,0.65,33.158791374999964
Kommunikation,0.7,23.777829375000692
Entwicklungsingenieur,0.7,41.46592933299962
Tiefbau,0.65,38.52301316699959
Bauingenieur/in,0.65,21.294015916000717
Leiter Rechnungswesen,0.35,37.0833996249994
Außendienstmitarbeiter/in,1.0,44.31467008399977
Elektriker/in,0.0,45.0936937080005
Berater,0.75,31.74521683399962
Reinigungskraft,0.8,25.082337417000417
Junior Softwareentwickler,1.0,44.57406683299996
Medientechnik,0.0,84.49686750000001
Kaufmännische/r Mitarbeiter/in,1.0,29.149206582999796
Optik,0.9,41.224577833000694
Konstrukteur/in,0.0,54.836990082999364
Finanzbuchhalter/in,0.95,38.556060874999275
Hardware-Entwickler/in,0.1,34.07362820900016
Disponent/in,0.5,40.17477766600041
Junior Ingenieur,0.0,35.197189791999335
Servicetechniker/in,0.9,25.73402679100036
Verfahrenstechnik,0.85,33.45693349999965
Physiotherapeut/in,0.65,26.48272866699972
Elektrokonstruktion,0.65,34.725599583000076
Immobilien,0.8,26.176620332999846
Materialwissenschaft,0.0,30.29134229200008
Techniker/in,0.85,45.61123399999997
Krankenschwester,0.5,40.72840062500018
Architekt/in,1.0,33.86936487499952
Chemieingenieur,0.0,31.22473812499993
ingenieur/in,0.0,56.267161750000014
Vertrieb Medizin,0.55,39.20854437499929
Ingenieur Umwelt,0.2,49.901298791000045
Mitarbeiter/in Gastronomie,0.8,27.802912000000106
Systemkaufmann,0.3,28.158510582999952
Strategischer Einkauf,0.5,12.151502416999392
Marketing-Manager/in,0.0,39.66749600000003
Lohn- und Gehaltsbuchhalter/in,0.4,46.24131925000074
IT Junior,0.95,44.37542124999982
Elektroniker/in,1.0,48.68632641699969
Raumplanung,0.6,56.276781833000314
Event-Manager/in,0.75,40.72434870899997
technische Chemie,0.7,25.85371970899996
Technischer Einkauf,0.8,40.53800795799998
Altenpfleger/in,0.3,32.55120508300024
Drucktechnik,0.8,46.672850999999355
Sales-Manager/in,0.95,25.248471083999902
HR,0.0,28.65697629100032
Volkswirt,0.45,24.872541875000024
Restaurantfachmann/-frau,0.9,29.415313208000043
Web-Entwickler/in,1.0,21.03659858300034
Bankkaufmann/-frau,0.8,49.701880374999746
Lager- und Transportarbeiter/in,0.65,21.493084708000424
Projektleiter IT,0.3,34.81601595800021
Lagermitarbeiter/in,0.9,37.859848999999485
Mechatroniker/in,0.8,43.388896707999265
Handelsfachwirt,0.65,35.17414241699953
Einkäufer/in,0.35,32.71046241699969
Schweißtechnik,0.0,48.96995549999974
Gebäudetechnik,0.9,21.51954562500032
Trainee BWL,0.25,28.41336345900072
Leiter Marketing,0.7,32.89943483299976
Rechtsanwaltsfachangestellte/r,0.95,36.139222834000066
Presse,0.5,40.30515654100054
Betriebswirt/in,0.45,29.237182958999256
quereinsteiger,0.0,24.462579541000196
Verwaltung,0.9,41.80107450000014
Speditionskaufmann/-frau,0.9,48.90757125000073
Verkäufer/in Außendienst,1.0,26.222760540999843
Bilanzbuchhalter/in,0.0,25.271817541999553
Versuchsingenieur,0.0,32.712699749999956
Assistenz,0.95,23.38965729099982
Ingenieur Fertigung,0.7,26.260728459000347
Einkauf Sachbearbeiter,0.9,33.4992868749996
Kaufmann,0.4,30.430241916999876
einkauf,0.65,24.620059207999475
Chemie,0.7,25.200605916999848
Werkstofftechnik,0.0,34.20214716600003
Verkaufsfahrer/in,0.85,25.674787707999712
Software-Architekt/in,1.0,13.940937708000092
Metalltechniker/in,0.9,28.78713925000011
Werkstudent,0.55,19.72859525000058
Netzwerk-Administrator/in,0.0,30.101823291000073
Kreditorenbuchhaltung,0.1,39.11382208299983
verkauf,0.75,25.545451250000042
Kfz-Mechatroniker/in,0.9,23.933416832999683
Immobilienkaufmann/-frau,1.0,25.54790474999936
Mfa,0.3,19.009043416999702
it,0.0,24.787732208000307
Maschinenbautechniker/in,0.3,37.2730342090008
Anlagenführer/in,0.85,29.979928499999914
Psychologin,0.0,37.22162529199977
Elektroingenieur/in,0.0,39.261879166000654
Personalberater,0.4,26.325681249999434
Technischer Aussendienst,0.7,32.80063141700066
PR,0.1,40.363205749999906
Controlling,0.0,36.70708512500005
Performance Marketing,0.65,26.27612987500015
Bürokauffrau,0.55,33.42697445799968
Elektromeister/in,0.5,27.96366550000039
Sachbearbeitung,0.75,21.108398499999566
Mitarbeiter/in Vertriebsinnendienst,1.0,14.423932583999886
Personalrecruiter/in,0.9,24.299073916999987
Teamleiter IT,0.0,29.748631999999816
Biologe/-in,0.55,33.98693312500018
Key-Account-Manager/in,1.0,26.232060084000295
Technischer Betriebswirt,0.0,38.893715666999924
Krankenpfleger/in,0.0,64.36655324999992
Empfang,0.75,20.773622125000657
MFA,0.5,20.202222249999977
Geschäftsführer,0.45,30.822682625000198
Zahntechniker/in,0.8,28.613088624999364
Gesundheitspfleger/in,0.75,24.658150208000734
Innenarchitektur,0.0,33.08732650000002
Umwelttechnik,0.0,37.11327908400017
Sachbearbeiter/in Vertrieb,1.0,27.36677341700033
Steuerberater,0.4,24.73582345900013
Aushilfe,0.95,25.392252957999517
vertrieb,0.15,22.67914529099926
Vertriebsmitarbeiter/in,0.85,37.39070383299986
Leiter Einkauf,0.0,32.901454541999556
Meister,0.2,31.797799124999074
Datenerfasser,0.55,23.152983708001557
Kaufmännische/r Assistent/in,0.8,25.73166420800044
Software Ingenieur,0.0,36.25502662500003
Online-Marketing-Manager/in,0.0,29.90239854199899
Trainee Ingenieur,0.1,33.337605165999776
Koch,0.9,34.8417591669986
Lkw fahrer,0.8,26.11602554199999
Produktdesigner/in,0.9,30.73962854199999
Karosseriebau,0.5,30.075006750001194
Pharmazeut/in,0.9,23.40263033299925
Betriebsleiter/in,0.2,21.059410916999695
Datenbankadministrator,0.7,21.935186958000486
Personal,0.0,32.516549542000575
Teamassistent/in,0.9,24.096594749998985
BWL,0.0,25.46389837500101
Leiter,0.7,30.135757416999695
Kfz-Mechaniker/in,1.0,21.285779875001026
Ergotherapeut/in,0.6,17.10322691699912
Personalleiter/in,0.95,21.866989250000188
Maler,0.95,25.497365249999348
Vertrieb Automotive,0.3,20.35828174999915
Personalreferent/in,0.0,31.28986595800052
Assistent/in Management,1.0,23.537018666998847
Aussendienst Pharma,0.5,26.12606762500036
Ingenieur Mechatronik,0.0,40.43202087499958
Pädagogische/r Mitarbeiter/in,0.0,27.21676820799985
Versorgungstechnik,0.35,27.160785292000583
Jurist/in,0.0,42.99494712500018
Teamleiter/in\xa0Lager,0.0,49.963702958000795
Gesundheitsmanager/in,0.1,22.136193708000064
Technische/r Zeichner/in,0.7,29.001104667000618
Ingenieur Qualität,0.0,34.00457958299921
Ausbildung,0.7,27.437123249999786
Geotechnik,0.5,28.860643457999686
Bürokraft,0.4,27.9287578329986
Personalentwickler/in,0.8,48.955350958000054
Automobilkaufmann/-frau,0.0,90.71828941700005
Anlagenmechaniker/in,0.75,64.86396479200084
Abteilungsleiter/in Logistik,0.0,37.21322725000027
Energietechnik,1.0,19.682333708999067
Assistent/in\xa0Marketing,0.0,39.756052500000806
Innenarchitekt/in,0.7,29.091307999999117
Berechnungsingenieur,0.8,28.15538341700085
Leiter Softwareentwicklung,0.0,37.94953333400008
Tischler/in,0.9,17.753068334001
sport,0.75,31.676976082999317
Projektleiter/in,0.0,31.72650858400084
Leiter Controlling,0.0,35.00140379200093
Hauswirtschafter/in,0.85,28.728165417000127
Maschinentechnik,0.95,57.517024083999786
Elektrotechniker/in,0.0,49.49551624999913
sachbearbeiter,0.55,29.07606337499965
Auftragssachbearbeiter/in,1.0,25.201553208000405
Sachbearbeiter/in Disposition,0.35,24.87138804099959
Qualitätsmanager/in,0.6,32.80082941599903
werkstudent,0.55,26.925762374999977
Logistik Sachbearbeiter,0.95,28.438460417000897
Mitarbeiter/in Einkauf,0.6,22.360328999999183
Vertriebsleiter/in,0.2,30.64010650000091
IT-Administrator/in,0.0,34.64207999999962
Designer/in,0.4,18.227456167000128
SPS-Programmierer/in,0.4,48.065191166999284
Bauleiter,0.45,34.50108062500112
Aussendienst Medizin,0.2,38.85253762499997
Ingenieur Logistik,0.15,33.434420915999
Oberflächentechnik,0.7,23.420604165999976
Lager,1.0,20.562538291000237
Sachbearbeiterin,0.8,24.2026606670006
Gebäudetechniker/in,0.35,30.981418499999563
Arzt/Ärztin,1.0,20.577539207999507
Transportlogistik,0.9,18.630898333000005
Elektroinstallateur/in,0.8,25.887038333999953
Projektentwicklung,0.5,28.091492125000514
Straßenbau,0.75,26.587568165999983
Berufskraftfahrer,0.8,18.381381832999978
verwaltung,0.8,33.160047832998316
Heilerzieher/in,0.25,21.888244750000013
Chemie-Ingenieur/in,0.0,33.13776466699892
logistik,1.0,21.803670416000386
Handelsvertreter,0.0,36.11570533399936
Leiter Logistik,0.45,35.36343037500046
Business Development,0.6,26.804866167
Officemanager/in,0.6,25.42484320800031
Instandhaltungsmechaniker/in,0.85,18.403703666999718
Klimatechnik,0.7,23.919534999999087
Unternehmenskommunikation,0.7,26.354029916999934
Logistiker/in,1.0,26.153613041000426
Ingenieur,0.8,28.932916541998566
Verkäufer,0.8,24.590989958000137
Wirtschaftsingenieur/in,0.9,22.34397641600117
Innendienst,0.65,29.342491792000146
It,0.9,17.167749917000037
Konstrukteur/in Maschinenbau,0.8,25.706053207999503
Entwicklungsingenieur/in,0.0,28.553509916999246
bau,0.1,20.22220237500005
Stadtplaner/in,1.0,34.60453929200048
Maschinenbau,0.8,22.211957249999614
Steuerfachangestellte/r,0.7,27.731591540999943
Technischer Vertrieb,0.0,31.905784333001066
Fahrdienst,0.25,31.996221957999296
Kreditorenbuchhalter/in,0.8,27.810288458000286
Reinigung,1.0,24.5734572500005
Tragwerksplanung,0.45,28.212591749999774
Bauzeichner/in,0.4,31.60211162500127
Kommissionierer/in,0.85,23.573597458000222
Gebietsverkaufsleiter,0.0,36.97248533399943
Technische/r Leiter/in,0.5,28.086307207999198
